"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"c:\Users\lishizhen\Desktop\Visual-Java\README.md", "Markdown", 0, 6, 0, 5, 11
"c:\Users\lishizhen\Desktop\Visual-Java\include\classfile\classLoader.h", "C++", 10, 0, 0, 1, 11
"c:\Users\lishizhen\Desktop\Visual-Java\include\classfile\classfile.h", "C++", 54, 0, 1, 7, 62
"c:\Users\lishizhen\Desktop\Visual-Java\include\classfile\classfile_constants.h", "C++", 528, 0, 35, 20, 583
"c:\Users\lishizhen\Desktop\Visual-Java\include\classfile\classfile_typedef.h", "C++", 78, 0, 1, 17, 96
"c:\Users\lishizhen\Desktop\Visual-Java\include\classfile\type_translate.h", "C++", 40, 0, 4, 5, 49
"c:\Users\lishizhen\Desktop\Visual-Java\include\cmd.h", "C++", 28, 0, 0, 2, 30
"c:\Users\lishizhen\Desktop\Visual-Java\include\error_exit.h", "C++", 6, 0, 1, 1, 8
"c:\Users\lishizhen\Desktop\Visual-Java\include\jvm.h", "C++", 22, 0, 0, 2, 24
"c:\Users\lishizhen\Desktop\Visual-Java\include\jvm_code.h", "C++", 204, 0, 0, 1, 205
"c:\Users\lishizhen\Desktop\Visual-Java\include\rtda\Frame.h", "C++", 17, 0, 0, 3, 20
"c:\Users\lishizhen\Desktop\Visual-Java\include\rtda\LocalVars.h", "C++", 13, 0, 0, 2, 15
"c:\Users\lishizhen\Desktop\Visual-Java\include\rtda\OperandStack.h", "C++", 15, 0, 0, 1, 16
"c:\Users\lishizhen\Desktop\Visual-Java\include\rtda\Stack.h", "C++", 15, 0, 0, 0, 15
"c:\Users\lishizhen\Desktop\Visual-Java\include\rtda\Thread.h", "C++", 16, 0, 0, 3, 19
"c:\Users\lishizhen\Desktop\Visual-Java\src\classfile\classLoader.cpp", "C++", 20, 0, 0, 2, 22
"c:\Users\lishizhen\Desktop\Visual-Java\src\classfile\classfile.cpp", "C++", 389, 0, 11, 38, 438
"c:\Users\lishizhen\Desktop\Visual-Java\src\gava\cmd.cpp", "C++", 75, 0, 1, 9, 85
"c:\Users\lishizhen\Desktop\Visual-Java\src\gava\main.cpp", "C++", 23, 0, 1, 4, 28
"c:\Users\lishizhen\Desktop\Visual-Java\src\jvm\jvm.cpp", "C++", 257, 0, 1, 206, 464
"c:\Users\lishizhen\Desktop\Visual-Java\src\rtda\Frame.cpp", "C++", 18, 0, 0, 3, 21
"c:\Users\lishizhen\Desktop\Visual-Java\src\rtda\LocalVars.cpp", "C++", 19, 0, 0, 4, 23
"c:\Users\lishizhen\Desktop\Visual-Java\src\rtda\OperandStack.cpp", "C++", 26, 0, 0, 7, 33
"c:\Users\lishizhen\Desktop\Visual-Java\src\rtda\Stack.cpp", "C++", 29, 0, 2, 6, 37
"c:\Users\lishizhen\Desktop\Visual-Java\src\rtda\Thread.cpp", "C++", 24, 0, 0, 10, 34
"Total", "-", 1926, 6, 58, 359, 2349